order,ISBN,title,author,publisher,genre,description
1,9784641009240,ポケット六法（テスト）　令和６年版,佐伯仁志,有斐閣,法律,法律学習者必携の六法令和6年版。最新の法改正を反映し、判例や関連法規も網羅した実務でも役立つ定番書。
2,9784641233249,商法判例集,神作裕之,有斐閣,法律,商法の重要判例を厳選し、わかりやすい解説とともに収録。法学部・法科大学院の学習や実務で重宝する一冊。
3,9784102052129,百年の孤独,ガブリエル・ガルシア・マルケス,新潮社,外文小説,南米の架空の村を舞台に、家族の興亡と歴史を描いたマジックリアリズムの金字塔。世界的名作小説。
4,9784130323970,会社法,田中亘,東京大学出版会,法律,会社法の基本原則から最新改正まで、初学者から実務家まで役立つ体系的な解説書。大学の教科書としても採用。
5,9784641227699,行政法判例集　１,大橋洋一（行政法学）,有斐閣,法律,行政法の主要判例を網羅し、判例の背景や意義を詳述。試験対策や実務の理解を深める必携判例集。
6,9784502452918,組織変革論,舟津昌平,中央経済社,経営,企業組織の変革理論と実践的手法をわかりやすく解説。マネジメント層や経営学習者に最適な実務指向の参考書。
7,9784641115651,民事訴訟法判例百選,高田裕成,有斐閣,法律,民事訴訟法分野の重要判例を100選収録し、事例から法理論を学べる定番判例集。法科大学院でも広く使用。
8,9784641069251,ポケット六法　令和７年版,荒木尚志,有斐閣,法律,法律学習と実務で役立つ六法最新令和7年版。常に手元に置きたい、信頼のロングセラー。
9,9784641139626,判例刑法各論,山口厚,有斐閣,法律,刑法各論の重要判例をテーマ別に整理し、判例の要点と学習ポイントを解説した実践的な判例教材。
10,9784334103804,まったく新しいアカデミック・ライティングの教科書,阿部幸大,光文社,日文評論,日本語アカデミックライティングの常識を覆す実践ガイド。論理的で読みやすい文章の書き方を基礎から指導。
